chrom	start	end	number_DEL	number_DUP	number_h2hINV	number_t2tINV	number_TRA	clusterSize_including_TRA	number_SVs_sample	number_CNV_segments	pval_fragment_joins	chr_breakpoint_enrichment	pval_exp_chr	pval_exp_cluster	max_number_oscillating_CN_segments_2_states	max_number_oscillating_CN_segments_3_states	number_CN_segments_chr	max_number_oscillating_CN_segments_2_states_chr	max_number_oscillating_CN_segments_3_states_chr	inter_number_DEL	inter_number_h2hINV	inter_number_t2tINV	inter_number_DUP	inter_pval_fragment_joins	inter_other_chroms	inter_other_chroms_coords_all	Kids_First_Biospecimen_ID	fdr_fragment_joins	fdr_chr_breakpoint_enrichment	fdr_exp_cluster	call_high_conf	call_low_conf
18	NA	NA	0	0	0	0	0	0	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MJ8EGM54	NA	NA	NA	0	0
19	44838260	53470467	1	1	0	0	0	2	38	NA	0.572406704470879	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MJ8EGM54	0.619631498714411	NA	NA	0	0
20	NA	NA	0	0	0	0	0	0	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MJ8EGM54	NA	NA	NA	0	0
21	NA	NA	0	0	0	0	0	0	38	NA	NA	0.0826060544469042	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MJ8EGM54	NA	0.193874607414968	NA	0	0
22	17355447	46700294	2	0	0	0	0	2	38	NA	0.111610225094713	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MJ8EGM54	0.522568139124258	NA	NA	0	0
X	NA	NA	0	0	0	0	0	0	38	NA	NA	0.0451158582541432	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MJ8EGM54	NA	0.140490674894447	NA	0	0
1	54458785	201258564	1	1	0	0	2	4	72	12	1	0.00617497994189022	NA	6.94925228472698e-11	10	10	13	13	13	9	5	2	14	0.0128580011562976	6	6:131508332-131903459;	BS_CFPWSZB5	1	0.0340857771088445	1.24185712125214e-10	0	0
2	10011903	10015279	1	0	0	0	0	1	72	1	0.391625176271089	0.047736271574021	6.84729573041665e-09	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.142528710631841	NA	0	0
3	57536779	195066676	1	1	0	0	2	4	72	2	1	0.00491235679261099	NA	NA	NA	NA	NA	NA	NA	9	5	2	14	0.0128580011562976	4	4:565077-565470;	BS_CFPWSZB5	1	0.0287480485383662	NA	0	0
4	565077	565470	1	0	0	0	0	1	72	1	0.391625176271089	0.000184002214249065	4.44089209850063e-16	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.00217140477106543	NA	0	0
5	1045481	2005287	1	1	0	0	0	2	72	1	0.572406704470879	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_CFPWSZB5	0.619631498714411	NA	NA	0	0
6	131508332	131903459	0	0	0	1	0	1	72	1	0.391625176271089	0.123016361754515	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.253380156221598	NA	0	0
7	150039784	154060653	1	0	0	1	0	2	72	3	0.572406704470879	0.000227809524408703	3.93018950717305e-14	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_CFPWSZB5	0.619631498714411	0.00258063818190847	NA	0	0
8	138742220	138742750	0	1	0	0	0	1	72	1	0.391625176271089	0.221445697591829	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.367363512246306	NA	0	0
9	6978401	134685433	0	2	0	0	1	3	72	14	0.299780588595712	0.0391476056169937	NA	NA	12	12	12	12	12	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.128258529993143	NA	0	0
10	NA	NA	0	0	0	0	0	0	72	NA	NA	1	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CFPWSZB5	NA	1	NA	0	0
11	3838944	134639998	3	5	1	1	4	14	72	6	0.370119534579837	4.68421678977069e-06	NA	3.33066907387547e-16	4	4	5	5	5	19	9	3	29	8.94357857903423e-06	12_4	12:11038431-11104554;4:565077-565470
	BS_CFPWSZB5	0.522568139124258	9.00896441133903e-05	8.34056333420901e-16	0	1
12	11038431	11104554	0	1	0	0	0	1	72	1	0.391625176271089	0.015785827969143	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.0696329641366986	NA	0	0
13	NA	NA	0	0	0	0	0	0	72	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CFPWSZB5	NA	1	NA	0	0
14	NA	NA	0	0	0	0	0	0	72	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CFPWSZB5	NA	NA	NA	0	0
15	23440317	91749886	1	1	0	0	0	2	72	7	0.572406704470879	0.593469912791493	NA	NA	5	5	10	10	10	0	0	0	0	NA		 	BS_CFPWSZB5	0.619631498714411	0.670832906693284	NA	0	0
16	29238351	88208671	1	1	0	0	1	3	72	6	0.801251956901201	0.0267451798986638	NA	NA	4	4	10	10	10	0	0	0	0	NA		 	BS_CFPWSZB5	0.826754240948485	0.0999238295173267	NA	0	0
17	21317906	81792838	0	1	2	0	1	4	72	4	0.111610225094713	0.0270628750942854	NA	5.41860864566868e-06	2	2	4	4	4	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.0999238295173267	7.34256798425114e-06	0	0
18	NA	NA	0	0	0	0	0	0	72	NA	NA	0.58079993424889	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_CFPWSZB5	NA	0.662253583564284	NA	0	0
19	465820	53921657	0	3	1	0	2	6	72	2	0.343030146138244	0.000387645486216378	NA	0.00810506923920529	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CFPWSZB5	0.522568139124258	0.00400665891578238	0.00880220943904047	0	0
20	NA	NA	0	0	0	0	0	0	72	NA	NA	0.501507238069353	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_CFPWSZB5	NA	0.600751008054891	NA	0	0
21	NA	NA	0	0	0	0	0	0	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CFPWSZB5	NA	NA	NA	0	0
22	NA	NA	0	0	0	0	0	0	72	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_CFPWSZB5	NA	NA	NA	0	0
X	NA	NA	0	0	0	0	0	0	72	NA	NA	0.0757473799303862	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CFPWSZB5	NA	0.185814208487153	NA	0	0
1	32500898	32539715	1	0	0	0	0	1	53	1	0.391625176271089	0.144544630955077	NA	NA	NA	NA	13	13	13	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	0.28097553002702	NA	0	0
2	88997510	90075642	0	0	1	1	0	2	53	3	0.572406704470879	0.166804715361148	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_CWQ35N2K	0.619631498714411	0.308272968711382	NA	0	0
3	NA	NA	0	0	0	0	0	0	53	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CWQ35N2K	NA	1	NA	0	0
4	1690029	119343537	2	0	0	0	1	3	53	4	0.299780588595712	0.0669713244841071	NA	NA	2	2	4	4	4	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	0.171502697784432	NA	0	0
5	NA	NA	0	0	0	0	0	0	53	NA	NA	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_CWQ35N2K	NA	NA	NA	0	0
6	32671827	155467328	0	0	1	0	1	2	53	6	0.572406704470879	0.0600355585068951	NA	NA	4	4	5	5	5	0	0	0	0	NA		 	BS_CWQ35N2K	0.619631498714411	0.160946672618286	NA	0	0
7	67035879	72791756	1	0	0	1	0	2	53	2	0.572406704470879	0.23143490489961	NA	NA	NA	NA	15	9	15	0	0	0	0	NA		 	BS_CWQ35N2K	0.619631498714411	0.375880714732063	NA	0	0
8	NA	NA	0	0	0	0	0	0	53	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CWQ35N2K	NA	NA	NA	0	0
9	NA	NA	0	0	0	0	0	0	53	NA	NA	0.141532292813243	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_CWQ35N2K	NA	0.277565327373334	NA	0	0
10	4969563	29132984	0	0	1	1	1	3	53	1	0.801251956901201	0.0459510292535058	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CWQ35N2K	0.826754240948485	0.140490674894447	NA	0	0
11	18942335	89815621	2	1	0	1	1	5	53	6	0.896432373341912	0.0465220931571449	NA	9.12330949676132e-08	4	4	5	5	5	0	0	0	0	NA		 	BS_CWQ35N2K	0.908903051159523	0.140490674894447	1.39666755015576e-07	0	0
12	11013850	56196146	1	1	1	0	0	3	53	2	0.801251956901201	0.557675941930031	NA	1.54653323480858e-09	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CWQ35N2K	0.826754240948485	0.643675916262418	2.59065889674692e-09	0	0
13	21380062	21380361	1	0	0	0	0	1	53	1	0.391625176271089	0.448869621349198	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	0.560683408436903	NA	0	0
14	73848659	74130829	2	0	0	0	0	2	53	1	0.111610225094713	0.419093338638675	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	0.537712107614198	NA	0	0
15	41377426	77890395	1	0	1	0	0	2	53	1	0.572406704470879	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_CWQ35N2K	0.619631498714411	NA	NA	0	0
16	16637769	18721493	0	0	0	1	0	1	53	2	0.391625176271089	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	NA	NA	0	0
17	36083617	68231751	1	1	1	0	1	4	53	3	1	0.372749262603517	NA	1.55431223447522e-15	NA	NA	4	4	4	0	0	0	0	NA		 	BS_CWQ35N2K	1	0.499863999001076	3.37600615558846e-15	0	0
18	NA	NA	0	0	0	0	0	0	53	NA	NA	0.369897303758032	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_CWQ35N2K	NA	0.498072640653471	NA	0	0
19	4203899	41061649	2	0	1	0	3	6	53	2	0.343030146138244	7.63224137969092e-06	NA	8.9738782920179e-05	NA	NA	NA	NA	NA	0	2	2	0	0.261464129949111	2	2:88997510-90075642;	BS_CWQ35N2K	0.522568139124258	0.00013662723706943	0.000112049071834715	0	0
20	NA	NA	0	0	0	0	0	0	53	NA	NA	0.00540549619691192	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CWQ35N2K	NA	0.03108032463267	NA	0	0
21	37014773	37015210	1	0	0	0	0	1	53	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	NA	NA	0	0
22	22374949	43083226	2	0	0	0	0	2	53	2	0.111610225094713	0.183785199386412	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	0.326356332876821	NA	0	0
X	48244974	48447884	0	0	0	1	0	1	53	NA	0.391625176271089	0.585241500507355	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_CWQ35N2K	0.522568139124258	0.664202655337713	NA	0	0
1	32500438	93828770	2	1	0	0	2	5	45	2	0.896432373341912	0.0322547815320946	NA	0	NA	NA	13	13	13	0	0	0	0	NA		 	BS_KT9H4B1N	0.908903051159523	0.11175652832002	0	0	0
2	178447744	178450824	1	0	0	0	0	1	45	1	0.391625176271089	NA	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	NA	NA	0	0
3	NA	NA	0	0	0	0	0	0	45	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	NA	1	NA	0	0
4	50234718	190182985	2	0	0	1	0	3	45	4	0.299780588595712	1	NA	0.000125735201869759	2	2	4	4	4	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	1	0.000155557012569638	0	0
5	NA	NA	0	0	0	0	0	0	45	NA	NA	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_KT9H4B1N	NA	NA	NA	0	0
6	NA	NA	0	0	0	0	0	0	45	NA	NA	0.0673758069363467	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.172012798427073	NA	0	0
7	5897490	142488601	0	1	2	0	1	4	45	11	0.261464129949111	0.0537296425168707	NA	0.010077987125372	9	9	11	11	11	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	0.15044547449725	0.010866209582105	0	0
8	NA	NA	0	0	0	0	0	0	45	NA	NA	0.0448919498542996	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.140490674894447	NA	0	0
9	137330022	137330340	1	0	0	0	0	1	45	1	0.391625176271089	NA	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	NA	NA	0	0
10	125508732	125512407	1	0	0	0	0	1	45	1	0.391625176271089	0.528880937040117	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	0.620755870000254	NA	0	0
11	NA	NA	0	0	0	0	0	0	45	NA	NA	0.533372692555718	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.624136720312778	NA	0	0
12	10579888	62007620	2	0	0	0	1	3	45	2	0.299780588595712	0.0468500937510655	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	0.140490674894447	NA	0	0
13	NA	NA	0	0	0	0	0	0	45	NA	NA	0.103475357691438	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.224757500489534	NA	0	0
14	NA	NA	0	0	0	0	0	0	45	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_KT9H4B1N	NA	NA	NA	0	0
15	NA	NA	0	0	0	0	0	0	45	NA	NA	0.0713793720880905	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.178411735087547	NA	0	0
16	88278856	88279283	0	1	0	0	0	1	45	1	0.391625176271089	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	NA	NA	0	0
17	23079149	23184612	0	4	0	0	0	4	45	2	0.00738316050535977	NA	NA	0	NA	NA	4	4	4	0	0	0	0	NA		 	BS_KT9H4B1N	0.240917835444501	NA	0	0	0
18	NA	NA	0	0	0	0	0	0	45	NA	NA	NA	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_KT9H4B1N	NA	NA	NA	0	0
19	NA	NA	0	0	0	0	0	0	45	NA	NA	0.00352665149316087	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.0228414395239986	NA	0	0
20	NA	NA	0	0	0	0	0	0	45	NA	NA	0.00452353529706392	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.0272465666678949	NA	0	0
21	NA	NA	0	0	0	0	0	0	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	NA	NA	NA	0	0
22	18970184	20268444	0	0	1	1	1	3	45	1	0.299780588595712	0.0118746812017428	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_KT9H4B1N	0.522568139124258	0.0566026470616407	NA	0	0
X	NA	NA	0	0	0	0	0	0	45	NA	NA	0.00722806491565049	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_KT9H4B1N	NA	0.0379184846999274	NA	0	0
1	NA	NA	0	0	0	0	0	0	27	NA	NA	0.0765243100214845	NA	NA	NA	NA	13	13	13	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.187153518774878	NA	0	0
2	2338260	74032483	1	1	0	0	0	2	27	1	0.572406704470879	1	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_3R0KN6Z4	0.619631498714411	1	NA	0	0
3	NA	NA	0	0	0	0	0	0	27	NA	NA	0.0103206379596106	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.0506244368034977	NA	0	0
4	49310608	49319399	0	3	0	0	0	3	27	2	0.0292908865348883	0.214956751541704	NA	0	NA	NA	4	4	4	0	0	0	0	NA		 	BS_3R0KN6Z4	0.506002598703909	0.360933736011798	0	0	0
5	31902555	31902824	1	0	0	0	0	1	27	1	0.391625176271089	0.194407971707741	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_3R0KN6Z4	0.522568139124258	0.339667124330871	NA	0	0
6	26739586	167360084	0	0	1	1	1	3	27	7	0.801251956901201	0.0600355585068951	NA	NA	5	5	5	5	5	0	0	0	0	NA		 	BS_3R0KN6Z4	0.826754240948485	0.160946672618286	NA	0	0
7	138862347	140788605	0	1	0	0	0	1	27	2	0.391625176271089	NA	NA	NA	NA	NA	15	9	15	0	0	0	0	NA		 	BS_3R0KN6Z4	0.522568139124258	NA	NA	0	0
8	NA	NA	0	0	0	0	0	0	27	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	NA	NA	0	0
9	NA	NA	0	0	0	0	0	0	27	NA	NA	0.0898145815541001	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.203941012290321	NA	0	0
10	NA	NA	0	0	0	0	0	0	27	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	NA	NA	0	0
11	48963537	49823242	0	0	0	1	0	1	27	2	0.391625176271089	NA	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_3R0KN6Z4	0.522568139124258	NA	NA	0	0
12	NA	NA	0	0	0	0	0	0	27	NA	NA	0.121642204357247	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.25145595135414	NA	0	0
13	NA	NA	0	0	0	0	0	0	27	NA	NA	0.365932228120728	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.49420974033099	NA	0	0
14	NA	NA	0	0	0	0	0	0	27	NA	NA	0.339898464011718	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.475154207022706	NA	0	0
15	NA	NA	0	0	0	0	0	0	27	NA	NA	0.0489886817910679	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.145268950273342	NA	0	0
16	NA	NA	0	0	0	0	0	0	27	NA	NA	0.297016191169162	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.437763041549795	NA	0	0
17	NA	NA	0	0	0	0	0	0	27	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	NA	NA	0	0
18	NA	NA	0	0	0	0	0	0	27	NA	NA	0.0460607930884485	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.140490674894447	NA	0	0
19	53285445	53298633	0	0	0	1	0	1	27	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_3R0KN6Z4	0.522568139124258	NA	NA	0	0
20	NA	NA	0	0	0	0	0	0	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	NA	NA	0	0
21	NA	NA	0	0	0	0	0	0	27	NA	NA	0.147958200863815	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	0.285329514754827	NA	0	0
22	NA	NA	0	0	0	0	0	0	27	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	NA	NA	0	0
X	NA	NA	0	0	0	0	0	0	27	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_3R0KN6Z4	NA	NA	NA	0	0
1	161528704	248646185	0	1	0	1	0	2	23	2	0.572406704470879	0.212216661796684	NA	NA	NA	NA	13	9	13	0	0	0	0	NA		 	BS_XGVSX8BX	0.619631498714411	0.358464838525575	NA	0	0
2	139499303	140354582	0	1	0	0	0	1	23	1	0.391625176271089	NA	NA	NA	NA	NA	15	11	15	0	0	0	0	NA		 	BS_XGVSX8BX	0.522568139124258	NA	NA	0	0
3	NA	NA	0	0	0	0	0	0	23	NA	NA	0.550365829809532	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.637121218961809	NA	0	0
4	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
5	49860629	85267219	2	0	0	0	0	2	23	4	0.111610225094713	NA	NA	NA	2	2	6	6	6	0	0	0	0	NA		 	BS_XGVSX8BX	0.522568139124258	NA	NA	0	0
6	107237447	107237686	1	0	0	0	0	1	23	1	0.391625176271089	0.0248014891477075	NA	NA	NA	NA	4	2	4	0	0	0	0	NA		 	BS_XGVSX8BX	0.522568139124258	0.0958544040033018	NA	0	0
7	70243837	148259538	2	2	0	0	1	5	23	14	0.531948371210487	0.0537296425168707	NA	4.44089209850063e-16	4	5	20	4	11	0	0	0	0	NA		 	BS_XGVSX8BX	0.619631498714411	0.15044547449725	1.04341656088249e-15	0	0
8	NA	NA	0	0	0	0	0	0	23	NA	NA	0.437071963047421	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.549382734643145	NA	0	0
9	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	14	12	14	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
10	NA	NA	0	0	0	0	0	0	23	NA	NA	0.403957344681247	NA	NA	NA	NA	4	2	4	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.52416619546102	NA	0	0
11	NA	NA	0	0	0	0	0	0	23	NA	NA	0.407870117943648	NA	NA	NA	NA	3	1	3	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.52634688221733	NA	0	0
12	NA	NA	0	0	0	0	0	0	23	NA	NA	0.410106916077863	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.527720682291597	NA	0	0
13	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
14	NA	NA	0	0	0	0	0	0	23	NA	NA	0.00424355525799756	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.0260113031573174	NA	0	0
15	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
16	3167757	34730059	1	1	0	0	1	3	23	10	0.299780588595712	0.0267451798986638	NA	NA	8	8	10	10	10	0	0	0	0	NA		 	BS_XGVSX8BX	0.522568139124258	0.0999238295173267	NA	0	0
17	NA	NA	0	0	0	0	0	0	23	NA	NA	0.260509620107855	NA	NA	NA	NA	6	4	6	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.403529301951189	NA	0	0
18	NA	NA	0	0	0	0	0	0	23	NA	NA	0.258335765597187	NA	NA	NA	NA	4	1	4	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.401082032294521	NA	0	0
19	NA	NA	0	0	0	0	0	0	23	NA	NA	0.0189452932344172	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.0803769770556165	NA	0	0
20	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
21	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
22	NA	NA	0	0	0	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_XGVSX8BX	NA	NA	NA	0	0
X	NA	NA	0	0	0	0	0	0	23	NA	NA	0.10346169956624	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_XGVSX8BX	NA	0.224757500489534	NA	0	0
1	42564519	242017542	0	0	1	1	35	37	594	NA	0.408595399984347	2.16831386252872e-39	0	3.33066907387547e-16	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.544993997975382	3.76512214271952e-37	8.34056333420901e-16	0	0
2	3254560	142964850	1	0	1	0	62	64	594	NA	0.1811824469635	2.01131062462317e-67	7.7715611723761e-16	7.7715611723761e-16	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.522568139124258	6.98499446922705e-65	1.73543456923638e-15	0	0
3	1665326	184701470	2	0	3	0	54	59	594	NA	0.36622388848395	3.23945780263801e-64	1.11022302462516e-16	0	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.522568139124258	1.03620025239645e-61	0	0	0
4	34910070	117681964	2	0	1	0	13	16	594	NA	0.682270330336213	5.45199619625437e-16	2.22044604925031e-16	0	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.731186996716441	3.45151113361832e-14	0	0	0
5	13073641	115902724	1	0	0	1	33	35	594	NA	0.746160173347227	2.06662506655813e-40	6.66133814775094e-16	0	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.79726156563639	3.80603449757788e-38	0	0	0
6	18147041	167897724	0	0	1	1	58	60	594	NA	0.753004311656458	1.40506430770293e-71	3.33066907387547e-16	7.7715611723761e-16	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.802256514286143	5.88915746901004e-69	1.73543456923638e-15	0	0
7	69396388	69398308	0	0	1	1	0	2	594	NA	0.572406704470879	3.45877023433842e-12	1.88737914186277e-15	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.619631498714411	1.52877644357758e-10	NA	0	0
8	82354239	82356028	0	0	1	1	0	2	594	NA	0.572406704470879	9.33708336987791e-10	1.66533453693773e-15	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.619631498714411	3.25192688713083e-08	NA	0	0
9	NA	NA	0	0	0	0	0	0	594	NA	NA	0.0027568376600973	2.22044604925031e-16	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	NA	0.0190706767675717	NA	0	0
10	41559119	41572714	0	1	0	0	0	1	594	NA	0.391625176271089	0.00133313071664743	0	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K14VJ1E3	0.522568139124258	0.0109859009226098	NA	0	0
